,Mean,Std
BASELINE_Persistence_Overall_R2,0.2719571967077188,0.0
BASELINE_Persistence_No Rain (0mm)_R2,,
BASELINE_Persistence_Mod (0-10mm)_R2,-6.284395744979226,0.0
BASELINE_Persistence_Heavy (>10mm)_R2,-0.42977465177175417,6.206335383118183e-17
BASELINE_Persistence_Overall_MAE,5.461220741271973,0.0
BASELINE_Persistence_No Rain (0mm)_MAE,2.599426507949829,0.0
BASELINE_Persistence_Mod (0-10mm)_MAE,4.919472694396973,0.0
BASELINE_Persistence_Heavy (>10mm)_MAE,18.4151668548584,0.0
BASELINE_Persistence_Overall_MSE,129.30484008789062,0.0
BASELINE_Persistence_No Rain (0mm)_MSE,30.940486907958984,2.1324806311895372e-06
BASELINE_Persistence_Mod (0-10mm)_MSE,59.06702423095703,0.0
BASELINE_Persistence_Heavy (>10mm)_MSE,666.9425659179688,0.0
BASELINE_Persistence_Overall_RMSE,11.371228218078613,0.0
BASELINE_Persistence_No Rain (0mm)_RMSE,5.562417507171631,0.0
BASELINE_Persistence_Mod (0-10mm)_RMSE,7.685507297515869,0.0
BASELINE_Persistence_Heavy (>10mm)_RMSE,25.825231552124023,0.0
BASELINE_Persistence_Overall_MAPE,403.90000343322754,0.0
BASELINE_Persistence_No Rain (0mm)_MAPE,,
BASELINE_Persistence_Mod (0-10mm)_MAPE,596.7872619628906,0.0
BASELINE_Persistence_Heavy (>10mm)_MAPE,58.64797830581665,0.0
BASELINE_Persistence_Overall_Bias,-0.00631417240947485,0.0
BASELINE_Persistence_No Rain (0mm)_Bias,2.599426507949829,0.0
BASELINE_Persistence_Mod (0-10mm)_Bias,3.071316957473755,0.0
BASELINE_Persistence_Heavy (>10mm)_Bias,-16.427011489868164,0.0
BASELINE_Persistence_Overall_NSE,0.2719571590423584,0.0
BASELINE_Persistence_No Rain (0mm)_NSE,,
BASELINE_Persistence_Mod (0-10mm)_NSE,-6.284395217895508,0.0
BASELINE_Persistence_Heavy (>10mm)_NSE,-0.4297746419906616,0.0
BASELINE_Persistence_Overall_Samples,2491.0,0.0
BASELINE_Persistence_No Rain (0mm)_Samples,1495.0,0.0
BASELINE_Persistence_Mod (0-10mm)_Samples,639.0,0.0
BASELINE_Persistence_Heavy (>10mm)_Samples,357.0,0.0
BASELINE_Climatology_Overall_R2,-0.09571720955338514,0.0
BASELINE_Climatology_No Rain (0mm)_R2,,
BASELINE_Climatology_Mod (0-10mm)_R2,-0.6315486586235342,0.0
BASELINE_Climatology_Heavy (>10mm)_R2,-1.849154486959042,0.0
BASELINE_Climatology_Overall_MAE,5.549234390258789,0.0
BASELINE_Climatology_No Rain (0mm)_MAE,1.1105804443359375,0.0
BASELINE_Climatology_Mod (0-10mm)_MAE,2.6258249282836914,0.0
BASELINE_Climatology_Heavy (>10mm)_MAE,29.369531631469727,0.0
BASELINE_Climatology_Overall_MSE,194.60606384277344,0.0
BASELINE_Climatology_No Rain (0mm)_MSE,1.233388900756836,0.0
BASELINE_Climatology_Mod (0-10mm)_MSE,13.229748725891113,0.0
BASELINE_Climatology_Heavy (>10mm)_MSE,1329.036376953125,0.0
BASELINE_Climatology_Overall_RMSE,13.950128555297852,1.0662403155947686e-06
BASELINE_Climatology_No Rain (0mm)_RMSE,1.1105804443359375,0.0
BASELINE_Climatology_Mod (0-10mm)_RMSE,3.637272357940674,2.6656007889869215e-07
BASELINE_Climatology_Heavy (>10mm)_RMSE,36.45595169067383,0.0
BASELINE_Climatology_Overall_MAPE,113.02134990692139,0.0
BASELINE_Climatology_No Rain (0mm)_MAPE,,
BASELINE_Climatology_Mod (0-10mm)_MAPE,123.19272756576538,0.0
BASELINE_Climatology_Heavy (>10mm)_MAPE,94.81545090675354,0.0
BASELINE_Climatology_Overall_Bias,-4.123100757598877,0.0
BASELINE_Climatology_No Rain (0mm)_Bias,1.1105804443359375,0.0
BASELINE_Climatology_Mod (0-10mm)_Bias,-2.262972116470337,0.0
BASELINE_Climatology_Heavy (>10mm)_Bias,-29.369531631469727,0.0
BASELINE_Climatology_Overall_NSE,-0.09571731090545654,0.0
