,Mean,Std
BASELINE_Persistence_Overall_MAE,13.092509269714355,0.0
BASELINE_Persistence_No Rain (0mm)_MAE,5.459474563598633,0.0
BASELINE_Persistence_Mod (0-10mm)_MAE,13.98021125793457,1.0662403155947686e-06
BASELINE_Persistence_Heavy (>10mm)_MAE,29.0563907623291,2.1324806311895372e-06
BASELINE_Persistence_Overall_RMSE,25.421857833862305,0.0
BASELINE_Persistence_No Rain (0mm)_RMSE,12.213054656982422,0.0
BASELINE_Persistence_Mod (0-10mm)_RMSE,19.965978622436523,0.0
BASELINE_Persistence_Heavy (>10mm)_RMSE,43.58013916015625,0.0
BASELINE_Persistence_Overall_R2,0.28518705362219965,0.0
BASELINE_Persistence_No Rain (0mm)_R2,,
BASELINE_Persistence_Mod (0-10mm)_R2,-45.82876735284708,0.0
BASELINE_Persistence_Heavy (>10mm)_R2,-0.03847826109841512,0.0
BASELINE_Persistence_Overall_MAPE,535.5219841003418,0.0
BASELINE_Persistence_No Rain (0mm)_MAPE,,
BASELINE_Persistence_Mod (0-10mm)_MAPE,1213.1426811218262,0.0
BASELINE_Persistence_Heavy (>10mm)_MAPE,62.346673011779785,0.0
BASELINE_Persistence_Overall_NSE,0.2851870656013489,0.0
BASELINE_Persistence_No Rain (0mm)_NSE,,
BASELINE_Persistence_Mod (0-10mm)_NSE,-45.828765869140625,0.0
BASELINE_Persistence_Heavy (>10mm)_NSE,-0.03847825527191162,0.0
BASELINE_Persistence_Overall_Bias,0.020754147320985794,0.0
BASELINE_Persistence_No Rain (0mm)_Bias,5.459474563598633,0.0
BASELINE_Persistence_Mod (0-10mm)_Bias,12.771682739257812,0.0
BASELINE_Persistence_Heavy (>10mm)_Bias,-20.69940185546875,0.0
BASELINE_Persistence_Overall_Samples,2489.0,0.0
BASELINE_Persistence_No Rain (0mm)_Samples,1397.0,0.0
BASELINE_Persistence_Mod (0-10mm)_Samples,449.0,0.0
BASELINE_Persistence_Heavy (>10mm)_Samples,643.0,0.0
BASELINE_Climatology_Overall_MAE,13.48790168762207,0.0
BASELINE_Climatology_No Rain (0mm)_MAE,2.004506826400757,0.0
BASELINE_Climatology_Mod (0-10mm)_MAE,2.4632275104522705,0.0
BASELINE_Climatology_Heavy (>10mm)_MAE,46.135459899902344,0.0
BASELINE_Climatology_Overall_RMSE,32.03938293457031,0.0
BASELINE_Climatology_No Rain (0mm)_RMSE,2.0045065879821777,0.0
BASELINE_Climatology_Mod (0-10mm)_RMSE,3.2804312705993652,2.6656007889869215e-07
BASELINE_Climatology_Heavy (>10mm)_RMSE,62.907379150390625,0.0
BASELINE_Climatology_Overall_R2,-0.13539276054052007,0.0
BASELINE_Climatology_No Rain (0mm)_R2,,
BASELINE_Climatology_Mod (0-10mm)_R2,-0.2641349405597484,0.0
BASELINE_Climatology_Heavy (>10mm)_R2,-1.1638309732130954,0.0
BASELINE_Climatology_Overall_MAPE,123.06430339813232,0.0
BASELINE_Climatology_No Rain (0mm)_MAPE,,
BASELINE_Climatology_Mod (0-10mm)_MAPE,166.77297353744507,0.0
BASELINE_Climatology_Heavy (>10mm)_MAPE,92.54300594329834,0.0
BASELINE_Climatology_Overall_NSE,-0.13539278507232666,0.0
BASELINE_Climatology_No Rain (0mm)_NSE,,
BASELINE_Climatology_Mod (0-10mm)_NSE,-0.2641350030899048,0.0
BASELINE_Climatology_Heavy (>10mm)_NSE,-1.1638309955596924,0.0
BASELINE_Climatology_Overall_Bias,-11.06391429901123,0.0
BASELINE_Climatology_No Rain (0mm)_Bias,2.004506826400757,0.0
BASELINE_Climatology_Mod (0-10mm)_Bias,-1.4995023012161255,0.0
BASELINE_Climatology_Heavy (>10mm)_Bias,-46.135459899902344,0.0
BASELINE_Climatology_Overall_Samples,2489.0,0.0
BASELINE_Climatology_No Rain (0mm)_Samples,1397.0,0.0
BASELINE_Climatology_Mod (0-10mm)_Samples,449.0,0.0
BASELINE_Climatology_Heavy (>10mm)_Samples,643.0,0.0
ABL_TCN_Gated_Overall_MAE,1.916322955580022,0.44426097917463003
ABL_TCN_Gated_No Rain (0mm)_MAE,0.17777535347705903,0.030998857354776286
ABL_TCN_Gated_Mod (0-10mm)_MAE,1.8513852274267237,0.09552695185875502
ABL_TCN_Gated_Heavy (>10mm)_MAE,5.73888600391388,1.7744946558467438
ABL_TCN_Gated_Overall_RMSE,4.816057024500623,1.3494007927902745
ABL_TCN_Gated_No Rain (0mm)_RMSE,0.7011248198069621,0.09296006816310068
ABL_TCN_Gated_Mod (0-10mm)_RMSE,2.619469662644554,0.14471229311226544
ABL_TCN_Gated_Heavy (>10mm)_RMSE,9.128064326234874,2.7871881804388763
ABL_TCN_Gated_Overall_R2,0.9727344469398579,0.014883462249110259
ABL_TCN_Gated_No Rain (0mm)_R2,,
ABL_TCN_Gated_Mod (0-10mm)_R2,0.19198892091920855,0.09113345540789111
ABL_TCN_Gated_Heavy (>10mm)_R2,0.9510424969563864,0.028726344168850847
ABL_TCN_Gated_Overall_MAPE,48.60118189335823,4.2512791135410755
ABL_TCN_Gated_No Rain (0mm)_MAPE,,
ABL_TCN_Gated_Mod (0-10mm)_MAPE,97.31940463970416,10.778485633844218
ABL_TCN_Gated_Heavy (>10mm)_MAPE,14.581769742332858,2.594151562960477
ABL_TCN_Gated_Overall_NSE,0.9727344463974672,0.0148834625451853
ABL_TCN_Gated_No Rain (0mm)_NSE,,
ABL_TCN_Gated_Mod (0-10mm)_NSE,0.19198890922754744,0.09113345672656298
ABL_TCN_Gated_Heavy (>10mm)_NSE,0.9510424939977684,0.028726345904851985
ABL_TCN_Gated_Overall_Bias,-0.3127276759492378,1.2354723188044403
ABL_TCN_Gated_No Rain (0mm)_Bias,0.17777535347705903,0.030998857354776286
ABL_TCN_Gated_Mod (0-10mm)_Bias,-0.8204732943046565,0.272964107995463
ABL_TCN_Gated_Heavy (>10mm)_Bias,-1.0238551245759155,4.67701208045509
ABL_TCN_Gated_Overall_Samples,2489.0,0.0
ABL_TCN_Gated_No Rain (0mm)_Samples,1397.0,0.0
ABL_TCN_Gated_Mod (0-10mm)_Samples,449.0,0.0
ABL_TCN_Gated_Heavy (>10mm)_Samples,643.0,0.0
ABL_TCN_Direct_Overall_MAE,1.9321701526641846,0.4539046585559845
ABL_TCN_Direct_No Rain (0mm)_MAE,0.22186343371868134,0.04527415707707405
ABL_TCN_Direct_Mod (0-10mm)_MAE,1.8059381246566772,0.0956074446439743
ABL_TCN_Direct_Heavy (>10mm)_MAE,5.73617696762085,1.773584008216858
ABL_TCN_Direct_Overall_RMSE,4.8112921714782715,1.349375605583191
ABL_TCN_Direct_No Rain (0mm)_RMSE,0.7175156474113464,0.09319916367530823
ABL_TCN_Direct_Mod (0-10mm)_RMSE,2.57564377784729,0.14927278459072113
ABL_TCN_Direct_Heavy (>10mm)_RMSE,9.124089241027832,2.787731409072876
ABL_TCN_Direct_Overall_R2,0.9727852409809679,0.014865305290080939
ABL_TCN_Direct_No Rain (0mm)_R2,,
ABL_TCN_Direct_Mod (0-10mm)_R2,0.21860892392323122,0.09270728654885564
ABL_TCN_Direct_Heavy (>10mm)_R2,0.951080840359048,0.028713381939813053
ABL_TCN_Direct_Overall_MAPE,47.51327931880951,4.071746685972077
ABL_TCN_Direct_No Rain (0mm)_MAPE,,
ABL_TCN_Direct_Mod (0-10mm)_MAPE,94.70353603363037,10.785905563128082
ABL_TCN_Direct_Heavy (>10mm)_MAPE,14.560829550027847,2.5872808199771775
ABL_TCN_Direct_Overall_NSE,0.97278524171561,0.014865306142751744
ABL_TCN_Direct_No Rain (0mm)_NSE,,
ABL_TCN_Direct_Mod (0-10mm)_NSE,0.21860891580581665,0.09270728073465072
ABL_TCN_Direct_Heavy (>10mm)_NSE,0.9510808367282152,0.02871338455940766
ABL_TCN_Direct_Overall_Bias,-0.2765074670314789,1.2527464628219604
ABL_TCN_Direct_No Rain (0mm)_Bias,0.22186343371868134,0.04527415707707405
ABL_TCN_Direct_Mod (0-10mm)_Bias,-0.7607840299606323,0.2743211090564728
ABL_TCN_Direct_Heavy (>10mm)_Bias,-1.021117091178894,4.678243637084961
ABL_TCN_Direct_Overall_Samples,2489.0,0.0
ABL_TCN_Direct_No Rain (0mm)_Samples,1397.0,0.0
ABL_TCN_Direct_Mod (0-10mm)_Samples,449.0,0.0
ABL_TCN_Direct_Heavy (>10mm)_Samples,643.0,0.0
ABL_LSTM_Gated_Overall_MAE,1.600153356715058,0.19449362953988644
ABL_LSTM_Gated_No Rain (0mm)_MAE,0.12191044724958318,0.010153050969780293
ABL_LSTM_Gated_Mod (0-10mm)_MAE,1.4485092931084846,0.03467449083230563
ABL_LSTM_Gated_Heavy (>10mm)_MAE,4.917717165552725,0.7793846157303156
ABL_LSTM_Gated_Overall_RMSE,4.49367149077959,0.5027526831537191
ABL_LSTM_Gated_No Rain (0mm)_RMSE,0.8917020735166595,0.18334434850655304
ABL_LSTM_Gated_Mod (0-10mm)_RMSE,2.2657584662249852,0.1494877163173791
ABL_LSTM_Gated_Heavy (>10mm)_RMSE,8.526629190708633,1.0379482652163514
ABL_LSTM_Gated_Overall_R2,0.9774416292465942,0.004678231606527738
ABL_LSTM_Gated_No Rain (0mm)_R2,,
ABL_LSTM_Gated_Mod (0-10mm)_R2,0.3948424507255697,0.08121972271278045
ABL_LSTM_Gated_Heavy (>10mm)_R2,0.9597752816419682,0.0090249510709133
ABL_LSTM_Gated_Overall_MAPE,38.30140156226202,1.256099210316284
ABL_LSTM_Gated_No Rain (0mm)_MAPE,,
ABL_LSTM_Gated_Mod (0-10mm)_MAPE,76.1435057555038,4.340661585125179
ABL_LSTM_Gated_Heavy (>10mm)_MAPE,11.876666285799256,1.3296001559115953
ABL_LSTM_Gated_Overall_NSE,0.9774416287978429,0.004678231699591293
ABL_LSTM_Gated_No Rain (0mm)_NSE,,
ABL_LSTM_Gated_Mod (0-10mm)_NSE,0.39484244196913404,0.0812197238880038
ABL_LSTM_Gated_Heavy (>10mm)_NSE,0.9597752792110932,0.009024951616312506
ABL_LSTM_Gated_Overall_Bias,0.07774622902821282,0.8701470594911764
ABL_LSTM_Gated_No Rain (0mm)_Bias,0.12191044724958318,0.010153050969780293
ABL_LSTM_Gated_Mod (0-10mm)_Bias,-0.5524106909622998,0.09478750631432249
ABL_LSTM_Gated_Heavy (>10mm)_Bias,0.4218256135079729,3.336258191703567
ABL_LSTM_Gated_Overall_Samples,2489.0,0.0
ABL_LSTM_Gated_No Rain (0mm)_Samples,1397.0,0.0
ABL_LSTM_Gated_Mod (0-10mm)_Samples,449.0,0.0
ABL_LSTM_Gated_Heavy (>10mm)_Samples,643.0,0.0
ABL_LSTM_Direct_Overall_MAE,1.6066405773162842,0.19673968851566315
ABL_LSTM_Direct_No Rain (0mm)_MAE,0.14753472805023193,0.008827075362205505
ABL_LSTM_Direct_Mod (0-10mm)_MAE,1.4095852375030518,0.03206178918480873
ABL_LSTM_Direct_Heavy (>10mm)_MAE,4.914336204528809,0.7814055681228638
ABL_LSTM_Direct_Overall_RMSE,4.4843549728393555,0.5016469359397888
ABL_LSTM_Direct_No Rain (0mm)_RMSE,0.9019495844841003,0.18241573870182037
